ma_number	concept_id	concept_name	concept_code	mapping_type	ema_active_substance	pdf_strength	pdf_pharmaceutical_form	pdf_route_of_administration	pdf_packaging	pdf_content	pdf_pack_size	pdf_product_name	ema_name_of_medicine	ema_product_number	ema_atc_code	comment	suggestion	last_updated_date
EU/1/07/415/037	43661643	olanzapine 7.5 MG Disintegrating Oral Tablet	OMOP901220	EXACT	olanzapine	7.5 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		14 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2026-03-30
EU/1/07/415/038	43661643	olanzapine 7.5 MG Disintegrating Oral Tablet	OMOP901220	EXACT	olanzapine	7.5 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		28 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2026-03-30
EU/1/07/415/039	43661643	olanzapine 7.5 MG Disintegrating Oral Tablet	OMOP901220	EXACT	olanzapine	7.5 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		35 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2026-03-30
EU/1/07/415/040	43661643	olanzapine 7.5 MG Disintegrating Oral Tablet	OMOP901220	EXACT	olanzapine	7.5 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		56 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2026-03-30
EU/1/07/415/041	43661643	olanzapine 7.5 MG Disintegrating Oral Tablet	OMOP901220	EXACT	olanzapine	7.5 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		70 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2026-03-30
EU/1/07/415/042	19079152	olanzapine 10 MG Disintegrating Oral Tablet	312076	EXACT	olanzapine	10 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		14 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/043	19079152	olanzapine 10 MG Disintegrating Oral Tablet	312076	EXACT	olanzapine	10 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		28 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/044	19079152	olanzapine 10 MG Disintegrating Oral Tablet	312076	EXACT	olanzapine	10 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		35 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/045	19079152	olanzapine 10 MG Disintegrating Oral Tablet	312076	EXACT	olanzapine	10 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		56 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/046	19079152	olanzapine 10 MG Disintegrating Oral Tablet	312076	EXACT	olanzapine	10 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		70 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/047	19098136	olanzapine 15 MG Disintegrating Oral Tablet	351107	EXACT	olanzapine	15 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		14 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/048	19098136	olanzapine 15 MG Disintegrating Oral Tablet	351107	EXACT	olanzapine	15 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		28 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/049	19098136	olanzapine 15 MG Disintegrating Oral Tablet	351107	EXACT	olanzapine	15 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		35 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/050	19098136	olanzapine 15 MG Disintegrating Oral Tablet	351107	EXACT	olanzapine	15 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		56 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/051	19098136	olanzapine 15 MG Disintegrating Oral Tablet	351107	EXACT	olanzapine	15 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		70 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/052	19098137	olanzapine 20 MG Disintegrating Oral Tablet	351108	EXACT	olanzapine	20 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		14 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/053	19098137	olanzapine 20 MG Disintegrating Oral Tablet	351108	EXACT	olanzapine	20 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		28 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/054	19098137	olanzapine 20 MG Disintegrating Oral Tablet	351108	EXACT	olanzapine	20 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		35 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/055	19098137	olanzapine 20 MG Disintegrating Oral Tablet	351108	EXACT	olanzapine	20 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		56 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/056	19098137	olanzapine 20 MG Disintegrating Oral Tablet	351108	EXACT	olanzapine	20 mg	Orodispersible tablet	Oral use	blister (Alu/OPA/Alu/PVC)		70 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/057	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT	olanzapine	2.5 mg	Tablet	Oral use	blister (Alu/OPA/Alu/PVC)		98 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/058	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT	olanzapine	5 mg	Tablet	Oral use	blister (Alu/OPA/Alu/PVC)		98 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/415/059	785821	olanzapine 10 MG Oral Tablet	314154	EXACT	olanzapine	10 mg	Tablet	Oral use	blister (Alu/OPA/Alu/PVC)		98 tablets	Zalasta	Zalasta	EMEA/H/C/000792	N05AH03			2025-12-04
EU/1/07/426/001	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT	olanzapine	2.5 mg	Coated Tablet	Oral use	Blister	28		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/002	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT	olanzapine	2.5 mg	Coated Tablet	Oral use	Blist er (alu/alu)	56		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/003	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT	olanzapine	5 mg	Coated Tablet	Oral use	B lister (alu/alu)	28		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/004	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT	olanzapine	5 mg	Coated Tablet	Oral use	rBlister (alu/alu)	56		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/005	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT	olanzapine	7.5 mg	Coated Tablet	Oral use	Blister (alualu)	28		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/006	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT	olanzapine	7.5 mg	Coated Tablet	Oral use	Blister (alu)/alu	56		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/007	785821	olanzapine 10 MG Oral Tablet	314154	EXACT	olanzapine	10 mg	Coated Tablet	Oral use	Blister (alualu)	7		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/008	785821	olanzapine 10 MG Oral Tablet	314154	EXACT	olanzapine	10 mg	Coated Tablet	Oral use	Blister (alu/alu)	28		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/009	785821	olanzapine 10 MG Oral Tablet	314154	EXACT	olanzapine	10 mg	Coated Tablet	Oral use Orale	Blister (alu/alu)	56		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/010	19079153	olanzapine 15 MG Oral Tablet	312077	EXACT	olanzapine	15 mg	Coated Tablet	use	Blister (alu/alu)	28		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/426/011	19079153	olanzapine 15 MG Oral Tablet	312077	EXACT	olanzapine	15 mg	Coated Tablet	Ogral use	Blister (alu/alu)	56		olanzapine-cipla	Olanzapine Cipla (previously Olanzapine Neopharma)	EMEA/H/C/000793	N05AH03			2025-12-04
EU/1/07/440/001	1359550	lapatinib 250 MG Oral Tablet	672149	EXACT	lapatinib	250 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	70 tablets		tyverb	Tyverb	EMEA/H/C/000795	L01EH01			2025-12-04
EU/1/07/440/002	1359550	lapatinib 250 MG Oral Tablet	672149	EXACT	lapatinib	250 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	140 (2 x 70) tablets (multipack)		tyverb	Tyverb	EMEA/H/C/000795	L01EH01			2025-12-04
EU/1/07/440/003	1359550	lapatinib 250 MG Oral Tablet	672149	EXACT	lapatinib	250 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	84 tablets		tyverb	Tyverb	EMEA/H/C/000795	L01EH01			2025-12-04
EU/1/07/440/004	1359550	lapatinib 250 MG Oral Tablet	672149	EXACT	lapatinib	250 mg	Film-coated tablet	Oral use	bottle (HDPE)	70 tablets		tyverb	Tyverb	EMEA/H/C/000795	L01EH01			2025-12-04
EU/1/07/440/005	1359550	lapatinib 250 MG Oral Tablet	672149	EXACT	lapatinib	250 mg	Film-coated tablet	Oral use	bottle (HDPE)	140 tablets		tyverb	Tyverb	EMEA/H/C/000795	L01EH01			2025-12-04
EU/1/07/440/006	1359550	lapatinib 250 MG Oral Tablet	672149	EXACT	lapatinib	250 mg	Film-coated tablet	Oral use	bottle (HDPE)	84 tablets		tyverb	Tyverb	EMEA/H/C/000795	L01EH01			2025-12-04
EU/1/07/440/007	1359550	lapatinib 250 MG Oral Tablet	672149	EXACT	lapatinib	250 mg	Film-coated tablet	Oral use	bottle (HDPE)	105 tablets		tyverb	Tyverb	EMEA/H/C/000795	L01EH01			2025-12-04
EU/1/08/477/001	41409567	0.5 ML Histamine 1 MG/ML Injectable Solution [Ceplene]	OMOP2607529	BROAD	histamine dihydrochloride	0.5mg/0.5ml	Solution for injection	Subcutaneous use	Vial (glass)	0.5ml (1mg/ml)	14 Vials	ceplene	Ceplene	EMEA/H/C/000796	L03AX14		0.5 ML histamine dihydrochloride 1 MG/ML Injection [Ceplene]	2026-03-11
EU/1/07/430/001	19124374	efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet [Atripla]	643070	EXACT	efavirenz;emtricitabine;tenofovir disoproxil fumarate	600 mg/200 mg/245 mg *	Film-coated tablet	Oral use	Bottler (HDPE/alu)	30 film-coated tablets		atripla	Atripla	EMEA/H/C/000797	J05AR06			2025-12-04
EU/1/07/430/002	19124374	efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet [Atripla]	643070	EXACT	efavirenz;emtricitabine;tenofovir disoproxil fumarate	600 mg/200 mg/245 mg *	Film-coated tablet	Oral use	Bottle (HDPE/alu)	3 x 30 film-coated tablets		atripla	Atripla	EMEA/H/C/000797	J05AR06			2025-12-04
EU/1/07/422/001	19127718	nilotinib 200 MG Oral Capsule [Tasigna]	746609	EXACT	nilotinib	200 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); wallet	28 capsules		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/003	19127718	nilotinib 200 MG Oral Capsule [Tasigna]	746609	EXACT	nilotinib	200 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); wallet	112 (4x28) capsules (multipack)		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/005	40224785	nilotinib 150 MG Oral Capsule [Tasigna]	1002300	EXACT	nilotinib	150 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	28 capsules		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/006	40224785	nilotinib 150 MG Oral Capsule [Tasigna]	1002300	EXACT	nilotinib	150 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	112 (4x28) capsules (multipack)		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/007	19127718	nilotinib 200 MG Oral Capsule [Tasigna]	746609	EXACT	nilotinib	200 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton Blister (PVC/PVDC/Alu);	28 capsules		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/008	19127718	nilotinib 200 MG Oral Capsule [Tasigna]	746609	EXACT	nilotinib	200 mg	Capsule, hard	Oral use	carton	112 (4x28) capsules (multipack)		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/009	40224785	nilotinib 150 MG Oral Capsule [Tasigna]	1002300	EXACT	nilotinib	150 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	40 capsules		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/010	40224785	nilotinib 150 MG Oral Capsule [Tasigna]	1002300	EXACT	nilotinib	150 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	120 (3x40) capsules (multipack)		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/011	19127718	nilotinib 200 MG Oral Capsule [Tasigna]	746609	EXACT	nilotinib	200 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	40 capsules		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/012	19127718	nilotinib 200 MG Oral Capsule [Tasigna]	746609	EXACT	nilotinib	200 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	120 (3x40) capsules (multipack)		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/013	40224785	nilotinib 150 MG Oral Capsule [Tasigna]	1002300	EXACT	nilotinib	150 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	392 (14x28) capsules (multipack)		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/014	19127718	nilotinib 200 MG Oral Capsule [Tasigna]	746609	EXACT	nilotinib	200 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	392 (14x28) capsules (multipack)		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/422/015	42543820	nilotinib 50 MG Oral Capsule [Tasigna]	2002719	EXACT	nilotinib	50 mg	Capsule, hard	Oral use	Blister (PVC/PVDC/Alu); carton	120 (3x40) capsules		tasigna	Tasigna	EMEA/H/C/000798	L01EA03			2025-12-04
EU/1/07/424/001	19127053	1.2 ML temsirolimus 25 MG/ML Injection [Torisel]	725108	EXACT	temsirolimus	30 mg	Concentrate and solvent for solution for infusion	Intravenous use	vial (glass)	concentrate: 1.2 ml; solvent: 1.8 ml	1 vial + 1 vial	torisel	Torisel	EMEA/H/C/000799	L01XE09			2025-12-04
EU/1/08/502/001	21115672	Mifamurtide 4 MG	OMOP275854	BROAD	mifamurtide	4 mg	Powder for concentrate for dispersion for infusion	Intravenous use	vial (glass)		1 vial + 1 filter	Mepact	Mepact	EMEA/H/C/000802	L03AX15			2025-12-04
EU/1/08/462/001	21065752	ranolazine 375 MG Extended Release Oral Tablet	OMOP261070	EXACT	ranolazine	375 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	60 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/002	21065752	ranolazine 375 MG Extended Release Oral Tablet	OMOP261070	EXACT	ranolazine	375 mg	Prolonged-release tablet	Oral use	Bottle (HDPE)	60 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/003	1337110	ranolazine 500 MG Extended Release Oral Tablet [Ranexa]	616495	EXACT	ranolazine	500 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	60 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/004	1337110	ranolazine 500 MG Extended Release Oral Tablet [Ranexa]	616495	EXACT	ranolazine	500 mg	Prolonged-release tablet	Oral use	Bottle (HDPE)	60 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/005	21154230	ranolazine 750 MG Extended Release Oral Tablet	OMOP261052	EXACT	ranolazine	750 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	60 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/006	21154230	ranolazine 750 MG Extended Release Oral Tablet	OMOP261052	EXACT	ranolazine	750 mg	Prolonged-release tablet	Oral use	Bottle (HDPE)	60 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/007	21065752	ranolazine 375 MG Extended Release Oral Tablet	OMOP261070	EXACT	ranolazine	375 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	30 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/008	21065752	ranolazine 375 MG Extended Release Oral Tablet	OMOP261070	EXACT	ranolazine	375 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	100 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/009	1337110	ranolazine 500 MG Extended Release Oral Tablet [Ranexa]	616495	EXACT	ranolazine	500 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	30 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/010	1337110	ranolazine 500 MG Extended Release Oral Tablet [Ranexa]	616495	EXACT	ranolazine	500 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	100 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/011	21154230	ranolazine 750 MG Extended Release Oral Tablet	OMOP261052	EXACT	ranolazine	750 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	30 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/08/462/012	21154230	ranolazine 750 MG Extended Release Oral Tablet	OMOP261052	EXACT	ranolazine	750 mg	Prolonged-release tablet	Oral use	Blister (PVC/PVDC/alu)	100 tablets		ranexa	Ranexa (previously Latixa)	EMEA/H/C/000805	C01EB18			2025-12-04
EU/1/07/420/001	19125674	hydroxocobalamin 5000 MG Injection [Cyanokit]	700499	EXACT	hydroxocobalamin	2.5 g	Powder for solution for infusion	Intravenous use	Vial (glass)	2 vials + 1 infusion set + 2 transfer devices + 1 short catheter		cyanokit	Cyanokit	EMEA/H/C/000806	V03AB33	Dosage of 5000 MG is split over two vials see SmPC Section 4.2 Posology and method of administration		2025-12-30
EU/1/07/420/002	19125674	hydroxocobalamin 5000 MG Injection [Cyanokit]	700499	EXACT	hydroxocobalamin	5 g	Powder for solution for infusion	Intravenous use	Vial (glass)	1 vial + 1 infusion set +1 transfer device + 1 short catheter		cyanokit	Cyanokit	EMEA/H/C/000806	V03AB33			2025-12-30
EU/1/07/425/001	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	10 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/002	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	30 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/003	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	60 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/004	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	120 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/005	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	180 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/006	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	360 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/007	21169719	Metformin 1000 MG / vildagliptin 50 MG Oral Tablet	OMOP351557	EXACT	vildagliptin;metformin hydrochloride	50 mg / 1000 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	10 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 1000 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/008	21169719	Metformin 1000 MG / vildagliptin 50 MG Oral Tablet	OMOP351557	EXACT	vildagliptin;metformin hydrochloride	50 mg / 1000 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	30 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 1000 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/009	21169719	Metformin 1000 MG / vildagliptin 50 MG Oral Tablet	OMOP351557	EXACT	vildagliptin;metformin hydrochloride	50 mg / 1000 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	60 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 1000 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/010	21169719	Metformin 1000 MG / vildagliptin 50 MG Oral Tablet	OMOP351557	EXACT	vildagliptin;metformin hydrochloride	50 mg / 1000 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	120 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 1000 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/011	21169719	Metformin 1000 MG / vildagliptin 50 MG Oral Tablet	OMOP351557	EXACT	vildagliptin;metformin hydrochloride	50 mg / 1000 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	180 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 1000 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/012	21169719	Metformin 1000 MG / vildagliptin 50 MG Oral Tablet	OMOP351557	EXACT	vildagliptin;metformin hydrochloride	50 mg / 1000 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	360 tablets		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 1000 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/013	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	120 (2x60) tablets (multipack)		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/014	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	180 (3x60) tablets (multipack)		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
EU/1/07/425/015	21081251	Metformin 850 MG / vildagliptin 50 MG Oral Tablet	OMOP351542	EXACT	vildagliptin;metformin hydrochloride	50 mg / 850 mg	Film-coated tablet	Oral use	blister (PA/alu/PVC/alu)	360 (6x60) tablets (multipack)		eucreas	Eucreas	EMEA/H/C/000807	A10BD08	RxExt has naming inconsistency with RxNorm, suggestion has appropriate name	metformin hydrochloride 850 MG / vildagliptin 50 MG Oral Tablet	2025-12-04
